Year,AO_JF,AO_MA,EP-NP_JF,EP-NP_MA,PNA_JF,PNA_MA,SOI_JF,SOI_MA,Nino1+2_JF,Nino1+2_MA,Nino3_JF,Nino3_MA,Nino3.4_JF,Nino3.4_MA,Nino4_JF,Nino4_MA,ONI_JF,ONI_MA,PDO_JF,PDO_MA,NAO_JF,NAO_MA,EA_JF,EA_MA,WP_JF,WP_MA,EA-WR_JF,EA-WR_MA,SCA_JF,SCA_MA,POL_JF,POL_MA
2000,1.173,-0.365,-0.735,-0.160,-0.250,0.185,1.900,2.100,-0.690,-0.255,-1.400,-0.335,-1.660,-0.925,-1.400,-1.430,-1.535,-0.940,-1.740,-0.645,0.835,0.110,-0.780,-0.175,-0.310,-0.645,0.375,-1.040,-1.090,-0.290,-0.865,-0.905
2001,-0.790,-0.391,-0.320,-0.550,0.390,-0.155,2.200,0.900,-0.555,0.175,-0.350,-0.065,-0.680,-0.485,-0.855,-0.650,-0.600,-0.390,0.235,-0.795,-0.075,-0.940,0.570,0.940,0.995,0.025,-0.365,-0.470,0.690,-0.525,-0.915,0.330
2002,1.343,0.825,-0.500,1.220,-0.405,-1.980,1.250,-0.250,-0.425,0.795,-0.365,0.070,-0.095,0.015,0.430,0.330,-0.060,0.145,-0.965,-1.250,0.400,0.730,1.555,0.220,0.415,0.470,0.070,0.005,-1.155,0.275,0.260,-0.060
2003,-0.172,0.378,1.505,0.450,0.845,-0.230,-0.700,-0.350,0.005,-0.315,0.505,-0.125,0.620,0.110,0.630,0.465,0.775,0.170,1.340,0.685,-0.030,-0.205,0.510,0.210,0.015,0.285,0.240,0.775,0.520,0.270,1.165,0.905
2004,-1.607,-0.045,0.080,-0.025,0.500,0.125,-0.100,-0.400,-0.140,-0.655,0.360,0.030,0.250,0.095,0.405,0.095,0.340,0.200,-0.380,-0.075,-0.725,0.890,-0.065,0.435,-0.490,0.310,0.140,0.885,-0.195,1.080,-0.715,-1.430
2005,-0.457,-0.697,0.220,0.560,-0.365,0.780,-2.300,-0.250,-0.480,-0.940,0.115,-0.060,0.510,0.355,0.775,0.515,0.610,0.440,-0.080,0.490,0.375,-1.395,-1.865,1.245,-0.295,-0.200,-0.285,0.190,0.190,-0.260,-0.845,0.590
2006,-0.164,-0.733,-0.250,-0.685,-0.270,-0.180,1.450,2.350,-0.075,-0.895,-0.580,-0.485,-0.790,-0.515,-0.585,-0.465,-0.810,-0.470,0.460,-0.640,-0.025,-0.275,-0.810,0.195,1.385,0.525,0.105,0.330,1.115,-0.385,-0.660,-1.250
2007,0.363,0.863,-0.105,-0.730,-0.075,0.425,-0.700,0.050,0.385,-0.930,0.475,-0.515,0.415,-0.250,0.555,0.220,0.440,-0.220,-0.700,-0.780,-0.615,0.575,1.595,-0.510,0.980,-1.335,0.370,0.755,-0.895,-0.395,-0.665,-0.120
2008,0.878,0.065,-0.825,-1.060,-0.345,-0.895,3.650,1.750,-0.130,0.400,-1.350,-0.605,-1.675,-1.100,-1.515,-1.255,-1.580,-1.150,-1.480,-1.525,0.455,-0.815,0.060,0.520,0.465,-0.535,-0.260,-0.425,0.125,-0.790,-0.045,-0.310
2009,0.064,0.547,0.070,-0.315,-0.720,-0.665,2.450,1.000,-0.425,-0.200,-0.540,-0.440,-0.840,-0.520,-0.900,-0.420,-0.820,-0.470,-1.795,-2.145,-0.450,-0.085,0.205,-0.540,0.860,0.120,-1.250,0.720,0.295,-0.315,0.245,0.395
